Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1st,,,,04-06-2024 14:13:32,04-06-2024 14:14:46,1m - 13.465s,FAILED
,,,,,,,
Test Cases/Valid Login,,,,04-06-2024 14:13:33,04-06-2024 14:13:58,25.017s,PASSED
"startApplication(apkUrl, false)",,,,04-06-2024 14:13:33,04-06-2024 14:13:50,16.919s,PASSED
"setText(findTestObject(""android.widget.EditText - Username""), validUsername, 0)",,,,04-06-2024 14:13:50,04-06-2024 14:13:54,3.983s,PASSED
"setText(findTestObject(""android.widget.EditText - Password""), validPassword, 0)",,,,04-06-2024 14:13:54,04-06-2024 14:13:57,2.886s,PASSED
"tap(findTestObject(""android.widget.TextView - LOGIN""), 0)",,,,04-06-2024 14:13:57,04-06-2024 14:13:58,0.951s,PASSED
,,,,,,,
Test Cases/add to cart,,,,04-06-2024 14:13:58,04-06-2024 14:14:46,48.280s,FAILED
"tap(findTestObject(""android.widget.TextView - ADD TO CART""), 0)",,,,04-06-2024 14:13:58,04-06-2024 14:13:59,1.502s,PASSED
"price = getText(findTestObject(""android.widget.TextView - 29.99""), 0)",,,,04-06-2024 14:13:59,04-06-2024 14:14:00,0.975s,PASSED
"tap(findTestObject(""android.view.ViewGroup""), 0)",,,,04-06-2024 14:14:00,04-06-2024 14:14:01,0.350s,PASSED
"cartPrice = getText(findTestObject(""android.widget.TextView - 29.99 (1)""), 0)",,,,04-06-2024 14:14:01,04-06-2024 14:14:02,1.157s,PASSED
"verifyMatch(price, cartPrice, false)",,,,04-06-2024 14:14:02,04-06-2024 14:14:02,0.034s,PASSED
"tap(findTestObject(""android.widget.TextView - CHECKOUT""), 0)",,,,04-06-2024 14:14:02,04-06-2024 14:14:02,0.400s,PASSED
"setText(findTestObject(""android.widget.EditText - First Name""), firstName, 0)",,,,04-06-2024 14:14:02,04-06-2024 14:14:06,3.894s,PASSED
"setText(findTestObject(""android.widget.EditText - Last Name""), lastName, 0)",,,,04-06-2024 14:14:06,04-06-2024 14:14:09,2.979s,PASSED
"setText(findTestObject(""android.widget.EditText - ZipPostal Code""), postal, 0)",,,,04-06-2024 14:14:09,04-06-2024 14:14:12,2.898s,PASSED
hideKeyboard(),,,,04-06-2024 14:14:12,04-06-2024 14:14:13,1.458s,PASSED
"tap(findTestObject(""android.widget.TextView - CONTINUE""), 0)",,,,04-06-2024 14:14:13,04-06-2024 14:14:14,0.705s,PASSED
"tap(findTestObject(""android.widget.TextView - FINISH""), 0)",,,,04-06-2024 14:14:14,04-06-2024 14:14:46,31.736s,FAILED
